,restaurant_name,ansim,naver_cat_review,naver_cat_count,cat_people
0,전포동 베이비치크,없음,음식이 맛있어요,292,314
1,전포동 베이비치크,없음,인테리어가 멋져요,230,314
2,전포동 베이비치크,없음,친절해요,179,314
3,전포동 베이비치크,없음,특별한 날 가기 좋아요,121,314
4,전포동 베이비치크,없음,특별한 메뉴가 있어요,99,314
5,전포동 베이비치크,없음,매장이 청결해요,89,314
6,전포동 베이비치크,없음,재료가 신선해요,83,314
7,전포동 베이비치크,없음,양이 많아요,55,314
8,전포동 베이비치크,없음,화장실이 깨끗해요,48,314
9,전포동 베이비치크,없음,가성비가 좋아요,35,314
10,전포동 베이비치크,없음,단체모임 하기 좋아요,21,314
11,전포동 베이비치크,없음,매장이 넓어요,12,314
12,전포동 베이비치크,없음,뷰가 좋아요,8,314
13,전포동 베이비치크,없음,혼밥하기 좋아요,6,314
14,전포동 베이비치크,없음,아늑해요,5,314
15,전포동 베이비치크,없음,야외 공간이 멋져요,5,314
16,전포동 베이비치크,없음,사진이 잘 나와요,4,314
17,전포동 베이비치크,없음,주차하기 편해요,1,314
18,전포동 베이비치크,없음,반려동물과 가기 좋아요,1,314
19,전포동 베이비치크,없음,대화하기 좋아요,1,314
20,전포동 제이에스푸드,없음,음식이 맛있어요,19,21
21,전포동 제이에스푸드,없음,양이 많아요,7,21
22,전포동 제이에스푸드,없음,가성비가 좋아요,5,21
23,전포동 제이에스푸드,없음,친절해요,3,21
24,전포동 제이에스푸드,없음,혼밥하기 좋아요,2,21
25,양정동 론도테이블,없음,인테리어가 멋져요,107,146
26,양정동 론도테이블,없음,친절해요,99,146
27,양정동 론도테이블,없음,디저트가 맛있어요,92,146
28,양정동 론도테이블,없음,매장이 청결해요,74,146
29,양정동 론도테이블,없음,커피가 맛있어요,70,146
30,양정동 론도테이블,없음,음료가 맛있어요,61,146
31,양정동 론도테이블,없음,특별한 메뉴가 있어요,50,146
32,양정동 론도테이블,없음,사진이 잘 나와요,45,146
33,양정동 론도테이블,없음,대화하기 좋아요,29,146
34,양정동 론도테이블,없음,화장실이 깨끗해요,22,146
35,양정동 론도테이블,없음,집중하기 좋아요,16,146
36,양정동 론도테이블,없음,좌석이 편해요,14,146
37,양정동 론도테이블,없음,음식이 맛있어요,14,146
38,양정동 론도테이블,없음,가성비가 좋아요,10,146
39,양정동 론도테이블,없음,뷰가 좋아요,5,146
40,양정동 론도테이블,없음,아늑해요,4,146
41,양정동 론도테이블,없음,재료가 신선해요,4,146
42,양정동 론도테이블,없음,차분한 분위기에요,2,146
43,양정동 론도테이블,없음,반려동물과 가기 좋아요,1,146
44,양정동 론도테이블,없음,특별한 날 가기 좋아요,1,146
45,부전동 야타이 수,없음,음식이 맛있어요,23,27
46,부전동 야타이 수,없음,친절해요,21,27
47,부전동 야타이 수,없음,대화하기 좋아요,15,27
48,부전동 야타이 수,없음,혼술하기 좋아요,13,27
49,부전동 야타이 수,없음,음악이 좋아요,8,27
50,부전동 야타이 수,없음,화장실이 깨끗해요,6,27
51,부전동 야타이 수,없음,가성비가 좋아요,5,27
52,부전동 야타이 수,없음,기본 안주가 좋아요,5,27
53,부전동 야타이 수,없음,인테리어가 멋져요,4,27
54,부전동 야타이 수,없음,매장이 청결해요,3,27
55,부전동 야타이 수,없음,술이 다양해요,2,27
56,부전동 야타이 수,없음,특별한 메뉴가 있어요,2,27
57,부전동 야타이 수,없음,차분한 분위기에요,1,27
58,부전동 야타이 수,없음,재료가 신선해요,1,27
59,부전동 야타이 수,없음,단체모임 하기 좋아요,1,27
60,개금동 위대한밥상,없음,음식이 맛있어요,72,78
61,개금동 위대한밥상,없음,가성비가 좋아요,31,78
62,개금동 위대한밥상,없음,반찬이 잘 나와요,31,78
63,개금동 위대한밥상,없음,매장이 넓어요,25,78
64,개금동 위대한밥상,없음,친절해요,24,78
65,개금동 위대한밥상,없음,혼밥하기 좋아요,23,78
66,개금동 위대한밥상,없음,양이 많아요,22,78
67,개금동 위대한밥상,없음,매장이 청결해요,17,78
68,개금동 위대한밥상,없음,재료가 신선해요,13,78
69,개금동 위대한밥상,없음,단체모임 하기 좋아요,7,78
