,restaurant_name,ansim,naver_cat_review,naver_cat_count,cat_people
0,가야동세연정,없음,"""음식이 맛있어요""",이 키워드를 선택한 인원472,(636명 참여)
1,가야동세연정,없음,"""매장이 넓어요""",이 키워드를 선택한 인원192,(636명 참여)
2,가야동세연정,없음,"""주차하기 편해요""",이 키워드를 선택한 인원175,(636명 참여)
3,가야동세연정,없음,"""단체모임 하기 좋아요""",이 키워드를 선택한 인원168,(636명 참여)
4,가야동세연정,없음,"""친절해요""",이 키워드를 선택한 인원153,(636명 참여)
5,가야동세연정,없음,"""재료가 신선해요""",이 키워드를 선택한 인원90,(636명 참여)
6,가야동세연정,없음,"""양이 많아요""",이 키워드를 선택한 인원88,(636명 참여)
7,가야동세연정,없음,"""매장이 청결해요""",이 키워드를 선택한 인원63,(636명 참여)
8,가야동세연정,없음,"""가성비가 좋아요""",이 키워드를 선택한 인원59,(636명 참여)
9,가야동세연정,없음,"""특별한 날 가기 좋아요""",이 키워드를 선택한 인원54,(636명 참여)
10,가야동세연정,없음,"""화장실이 깨끗해요""",이 키워드를 선택한 인원40,(636명 참여)
11,가야동세연정,없음,"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원37,(636명 참여)
12,가야동세연정,없음,"""인테리어가 멋져요""",이 키워드를 선택한 인원34,(636명 참여)
13,가야동세연정,없음,"""혼밥하기 좋아요""",이 키워드를 선택한 인원12,(636명 참여)
14,가야동세연정,없음,"""뷰가 좋아요""",이 키워드를 선택한 인원8,(636명 참여)
15,가야동세연정,없음,"""음식이 빨리 나와요""",이 키워드를 선택한 인원2,(636명 참여)
16,가야동세연정,없음,"""좌석이 편해요""",이 키워드를 선택한 인원1,(636명 참여)
17,가야동세연정,없음,"""잡내가 적어요""",이 키워드를 선택한 인원1,(636명 참여)
18,가야동세연정,없음,"""기본 안주가 좋아요""",이 키워드를 선택한 인원1,(636명 참여)
19,가야동세연정,없음,"""건강한 맛이에요""",이 키워드를 선택한 인원1,(636명 참여)
20,개금동강원삼계탕,안심식당,"""음식이 맛있어요""",이 키워드를 선택한 인원119,(117명 참여)
21,개금동강원삼계탕,안심식당,"""친절해요""",이 키워드를 선택한 인원24,(117명 참여)
22,개금동강원삼계탕,안심식당,"""양이 많아요""",이 키워드를 선택한 인원22,(117명 참여)
