,restaurant_name,review_content,rating,date,visit,receipt,category
0,가야동세연정,"원래 부산에서 가던 갈비탕 집이 있는데 오늘은 다른 곳을 검색해서 방문!!  주변에서는 이미 갈비탕 맛집으로 유명한 곳이었다.만개인적으로 직화야 기
름지고 살살 녹는 한우가 맛있지만 스테이크나 탕 요리에는 수입산도 괜찮다고 생각하는 주의다. 갈비탕은 담백하고 깔끔했고 고기 양도 많아서(뼈 4대
) 점심 한끼로는 든든했다. 맛있게 먹고 기분좋게 포장까지 해서 컴백!!",별점없음,방문일6.6.화2023년 6월 6일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
1,가야동세연정,5년 전 부터 갈비탕하면 세연정에서만 먹었습니다. 다른 곳은 갈비탕 시키면 뜯다 만 갈비같은것만 주는데 여기는 실한 고기 덩어리와 깔끔하고 감칠맛 나는 육수맛에 단골이 될 수 밖에 없습니다 . 요즘 뭐 국산국산 하는데 맛있으면 원산지가 의미가 있나요? 맛은 한우보다 낫다고 생각합니다. 서비스도 좋고 직원분들 친절하시고 빠르게 대응해주셔서 좋습니다.,별점없음,방문일5.1.월2023년 5월 1일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
2,가야동세연정,"이 맛이 어떤맛일까 궁금하시겠지만 우리가 늘 알던 갈비탕맛과는 사뭇 달랐어요! 시원한 국물에, 전날에 술을 마셨다면 이 갈비탕으로 해장 한다면 몸 속에 알코올이 전부 날아갈 것 같은 시원한 맛👍🏻 거기에 깍두기와 고추절임을 함께 곁들여주면 사라진 입맛도 다 돌아와요!😁 구수하고 시원한 국물에 너무도 맛있는 한끼였네요!",별점없음,방문일4.17.월2023년 4월 17일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
3,가야동세연정,"건더기까지 먹기엔 더운 날.
가야에 오면 가끔 먹으러 옵니다.",별점없음,방문일7.26.수2023년 7월 26일 수요일,4번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
4,가야동세연정,"일욜에 아점먹으로 자주가는곳입니다 오늘은 왜 이럴까요...--...가위가 지저분하네요 손잡이쪽이 쩍쩍달라붙고 고추가루 말라서붙어있고.. 뭡니까....물
티슈로 직접 설겆이하고 사용했네요}}} 깍두기는 군내나고...원래 이러지않았는뎅..ㅜ",별점없음,방문일6.18.일2023년 6월 18일 일요일,4번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
5,가야동세연정,"매장 깔끔하고, 직원들 친절.
계산대 앞에 커피등 디저트류가 있는데 석류음료는 무척 달아요 ^^",별점없음,방문일8.8.화2023년 8월 8일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
6,가야동세연정,"예전에 동래에 있던 세연정 생각하고 갔는데  세연정 이젠 별루네요ㆍ1인분에 34000원인데 김치도 없어요 ㅎㅎ 손님이 없는데도 인테리어자체가 너무
어수선하고  어두워서 고기 상태 살피기가 힘들었어요ㆍ 화덕이 작아 고기 진짜 천천히 드실분만가야해요ㆍ동방축산가도 둘이서 한시간만에 7만원치
넘게 먹는데 화덕은 작고  철망은 크고 삼발이는 움직이고 한시간동안 1인분 굽고 나머진 포장해왔어요ㆍ 손님도 우리뿐인데 후드도 안켜주고 ...",별점없음,방문일7.4.화2023년 7월 4일 화요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
7,가야동세연정,모임하기좋아요,별점없음,방문일8.13.일2023년 8월 13일 일요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
8,가야동세연정,"마지막오더 시간까지 확인하고 간 자리였으나 9시부터 서빙하는 직원 주문 할때마다 짜증난 표정으로 갖다주고..육회.. 참나.. 저런 퀄리티로 돈 받으시
면 너무 양심 없는거 아니신가요?  그리고 다들 중간중간 주문서 확인 잘하세요! 중복 될수 있구요.. 가족끼리 특별한 날이라 좋은날이여서 갔는데..정말
서비스 불쾌하고.. 이 돈주고 이렇게 먹어야하나?? 천만번 생각했네요.. 저 누군지 아실꺼예요?? 저희집안 경조사때마다 갔는데..이젠 정말!! 다...",별점없음,방문일7.31.월2023년 7월 31일 월요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
9,가야동세연정,"종종 찾는 가야세연정인데요,  다음부턴 이런상황이 없길바라며 영수증리뷰라는걸 처음 써봅니다.  이 더위에 문이 열려있고, 화로가 드나드는 곳 바로 
앞자리를 안내받았는데요.  처음엔 덥지않게 해두셔서 이런자리도 안내를 하는거겠지하고 우선 앉았어요. 반찬들이 깔리고 화로가 들어오는데, 확 덥
더라구요.  빈자리가 없는것도 아니고, 왜 굳이 이런자리까지 안내하는건지.  여러사람 번거롭게 하기싫어서 그냥 빨리먹고 나가자 하고 참았는...",별점없음,방문일7.22.토2023년 7월 22일 토요일,1번째 방문,인증 수단영수증,"<span class=""DJJvD"">한식</span>"
