restaurant_name,naver_cat_count_sum
전포동 도우개러지(dough garage),34921
부전동 샤브테이,18463
부전동 용이초밥,8982
범천동 고향통닭,7489
전포동 유어타입,6889
전포동 버터빌(Butter Vill),6805
부전동 심돈,6007
전포동 춘리마라탕 서면전포점,5770
부전동 연화덮밥,5323
전포동 워킹홀리데이 전포,5260
전포동 구땡식당,5242
부전동 미도인 서면,4591
부암동 외식일번가 부산진구점,4568
전포동 미식가의 우동 부전점,4376
전포동 피플웍스(PEOPLE WORKS),4340
전포동 배키욘방 부산서면점,4272
부전동 기장칼국수,3903
부전동 태태태,3862
부전동 구석,3659
"전포동 안녕,파스타",3364
부전동 (주)사미헌,3302
범천동 언양닭칼국수,3084
부전동 차선책,3050
부전동 이유(EU),3040
부전동 딤타오,2994
부전동 송정3대국밥,2955
부전동 프랑제리PEER 부산서면점,2944
전포동 동백국밥,2782
부전동 덤보커피앤바,2755
부전동 서면퍼지네이블,2751
부전동 곱테랑,2641
부전동 오십사,2626
전포동 몽키브라운,2556
부전동 도연정,2478
전포동 씨몬,2411
부전동 회국수할매집,2321
전포동 역행,2265
개금동 낙지명가 아낙촌 개금점,2222
부전동 아지트,2167
당감동 춘리마라탕 당감점,2139
양정동 라화공방 양정점,2118
전포동 잔잔해,2055
전포동 보울스,2039
부전동 민스시,2038
전포동 카츠키친,2004
부전동 라마앤바바나,1995
부전동 바른고기 엘베요타 서면직영점,1993
부전동 고복샤브샤브,1964
전포동 반핀(Ban Pin),1963
부전동 83해치,1908
부전동 서면가야밀면,1894
전포동 치킨버거클럽,1875
전포동 펑키클로버(Funky Clover),1852
개금동 불끈낙지,1821
부전동 송정호,1804
가야동 마라홀릭 마라탕 가야점,1793
양정동 영심이 왕족발,1787
부전동 수라상,1778
부전동 굽굽,1763
부전동 레전드야구존(서면점),1722
전포동 키토니(kitony),1707
전포동 코쿠씨(kokku.c),1690
부전동 솥이랑 서면점,1685
양정동 월남면반 시청점,1667
부전동 애니플러스,1665
전포동 파스타빌라,1663
가야동 세연정,1650
부전동 서면고기집 돈마초,1648
전포동 몬베튼(Mountbatten),1646
부전동 모어샌드위치 서면점,1567
전포동 지즈(Jeez),1561
전포동 낙화,1543
부전동 파이널나인 부산서면점,1503
부전동 갈매기타운 서면점,1488
전포동 멘즈키(MENZUKI),1478
부전동 오잘전맥집 서면중앙점,1477
부전동 제줏간-서면점,1475
부전동 모던테이블,1466
전포동 자매분식,1455
당감동 베프,1454
부전동 삼굽살 서면점,1443
개금동 양가손만두,1430
부전동 고베규카츠서면점,1416
전포동 스스키노,1408
전포동 PANNA(판나),1399
부전동 명란김밥,1391
당감동 청와정,1386
부전동 김태정야심,1378
