restaurant_name,category,dong
전포동 베이비치크,양식,전포동
전포동 제이에스푸드,한식,전포동
양정동 론도테이블,"카페,디저트",양정동
전포동 하업트(HAUPT),바(BAR),전포동
부전동 야타이 수,이자카야,부전동
개금동 위대한밥상,한식뷔페,개금동
개금동 금돼지식당,한식,개금동
전포동 베리풀,"다이어트,샐러드",전포동
전포동 올드라벨,브런치카페,전포동
전포동 코즈키,이자카야,전포동
부전동 우미오모루,일식당,부전동
가야동 개금 골목포차,포장마차,가야동
전포동 고상,요리주점,전포동
전포동 소소리,이자카야,전포동
부전동 오로르,"카페,디저트",부전동
전포동 미네,술집,전포동
전포동 연화림,케이크전문,전포동
부전동 우시야,소고기구이,부전동
전포동 카츠 김선도,돈가스,전포동
부전동 마후닭,"치킨,닭강정",부전동
당감동 둥지밀면,국수,당감동
전포동 촉팜,"카페,디저트",전포동
전포동 힙피,"카페,디저트",전포동
양정동 형아우삼계탕,"백숙,삼계탕",양정동
범천동 미담돈,"육류,고기요리",범천동
전포동 바리치,이자카야,전포동
전포동 요키크라브,이자카야,전포동
부전동 해운대복어불고기&속시원한대구탕,복어요리,부전동
전포동 미올(MYOL),"카페,디저트",전포동
부전동 오십사,"육류,고기요리",부전동
연지동 도마샌드,샌드위치,연지동
전포동 배키욘방 부산서면점,일식당,전포동
전포동 로봇초밥마켓 부산본점,"초밥,롤",전포동
전포동 캔유라이크(Canyoulike),"카페,디저트",전포동
개금동 사보이 개금점,양식,개금동
양정동 신토김밥,김밥,양정동
가야동 우서방쭈삼이,주꾸미요리,가야동
전포동 꽁테무아(Quant a moi),카페,전포동
전포동 트와엣모아,"카페,디저트",전포동
부전동 개미집 서면센트럴스타점,낙지요리,부전동
부전동 삼다진족 서면점,"족발,보쌈",부전동
전포동 베트커피웍스,"카페,디저트",전포동
전포동 토오루,일식당,전포동
양정동 댄디커피,"카페,디저트",양정동
전포동 깨진벽,술집,전포동
전포동 유어타입,브런치,전포동
전포동 요행,요리주점,전포동
전포동 굿타운,바(BAR),전포동
부전동 18번완당,한식,부전동
개금동 이춘봉인생치킨(부산개금점),"치킨,닭강정",개금동
양정동 헤이휴,카페,양정동
당감동 소풍경당감부암점,종합분식,당감동
전포동 노캡,"카페,디저트",전포동
부전동 일일시호주,이자카야,부전동
전포동 모쿠816,"카페,디저트",전포동
부전동 지금하루,이자카야,부전동
전포동 비스트로바이지니케이트,"스파게티,파스타전문",전포동
가야동 저번에그,"족발,보쌈",가야동
당감동 호동포차,포장마차,당감동
초읍동 하이오커피 부산연지점,"카페,디저트",초읍동
부암동 광주식당,한식,부암동
당감동 감자븐분식,종합분식,당감동
부전동 구스타보,와인,부전동
개금동 도란도란,생선회,개금동
범천동 오로지 국밥,한식,범천동
전포동 덱스커피 전포점,카페,전포동
양정동 미누반점,중식당,양정동
전포동 구프(goof),"카페,디저트",전포동
전포동 서서주방,술집,전포동
전포동 베이시스옵,"카페,디저트",전포동
전포동 겟럭키(Get Lucky),"카페,디저트",전포동
부암동 쭈대가제육대가 서면점,한식,부암동
전포동 뉴욕보틀서면1호점,"카페,디저트",전포동
전포동 바게뜨양,"카페,디저트",전포동
개금동 온클라우드나인,"스파게티,파스타전문",개금동
전포동 노이알트,"카페,디저트",전포동
전포동 무구희,샤브샤브,전포동
전포동 템므,바(BAR),전포동
부전동 족발먹어보쌈,"족발,보쌈",부전동
가야동 모도리초밥,"초밥,롤",가야동
초읍동 리토스,햄버거,초읍동
부전동 불고기300,한식,부전동
전포동 히토우(HITOU),이자카야,전포동
전포동 묵묵-로스팅웨어,카페,전포동
전포동 뎃판스기,이자카야,전포동
양정동 골목안오리,오리요리,양정동
가야동 다락,"전,빈대떡",가야동
범천동 우정밥상,한식,범천동
개금동 철따라계절따라2호점,생선회,개금동
부전동 남해죽집,죽,부전동
부암동 아수라(ASURA),보드카페,부암동
양정동 요기요,"전통,민속주점",양정동
개금동 곱전,한식,개금동
전포동 웨이다오,이자카야,전포동
범천동 돈다리족발,"족발,보쌈",범천동
부전동 맨도롱,이자카야,부전동
가야동 필드키친부산진구점,한식,가야동
전포동 코즈믹버거 전포점,햄버거,전포동
부암동 원스,식료품,부암동
양정동 럭키라이스,덮밥,양정동
부전동 우가네족발,"족발,보쌈",부전동
전포동 키친바바,양식,전포동
당감동 피자스톰 부산진구점,피자,당감동
가야동 다온돼지,한식,가야동
당감동 연산할매국수,국수,당감동
부전동 주지민아빠감자탕,한식,부전동
전포동 덕수파스타 부산 전포 직영점,양식,전포동
부전동 제줏간-서면점,돼지고기구이,부전동
전포동 코르 파스타 바,와인,전포동
양정동 몬도일커피(MONDO1.COFFEE),카페,양정동
부전동 마선생얼큰국밥 부산서면점,한식,부전동
전포동 동포전,"전통,민속주점",전포동
범전동 빈스킹토스트 시민공원점,토스트,범전동
부암동 수제맥주집 부암점,"맥주,호프",부암동
부전동 어랏투고 영광도서점,"카페,디저트",부전동
부전동 비에이치씨bhc 부산부전점,"치킨,닭강정",부전동
부전동 언양닭칼국수(서면부전점),"칼국수,만두",부전동
부전동 통영한일김밥부산본점,김밥,부전동
부전동 상상피자 서면본점,피자,부전동
부전동 미미타코,일식당,부전동
부전동 킥애스 서면점,"카페,디저트",부전동
전포동 푯,돼지고기구이,전포동
전포동 오굳띵,"카페,디저트",전포동
양정동 노브레이크,요리주점,양정동
전포동 주심,요리주점,전포동
가야동 아구듬뿍알곤마니 가야개금점,"아귀찜,해물찜",가야동
전포동 Halo(헤일로),바(BAR),전포동
개금동 세아 작업실,일식당,개금동
전포동 무채 로스터리,"카페,디저트",전포동
전포동 리액트(react),"카페,디저트",전포동
전포동 펙(peck),바(BAR),전포동
초읍동 동방축산 초읍점,"육류,고기요리",초읍동
양정동 대패한상,"육류,고기요리",양정동
전포동 플로레스타,"스파게티,파스타전문",전포동
전포동 코쿠씨(kokku.c),브런치카페,전포동
전포동 치보,와인,전포동
전포동 페이퍼가든,인테리어소품,전포동
부전동 제이엠티카페 서면로점,"카페,디저트",부전동
전포동 수프올샐러드,브런치,전포동
전포동 후타츠 부산점,일본식라면,전포동
가야동 가야블루스,"맥주,호프",가야동
전포동 빗센,양식,전포동
연지동 통통회,일식당,연지동
개금동 요고양식,양식,개금동
전포동 육담도,"육류,고기요리",전포동
전포동 버드나무집,한식,전포동
연지동 이춘봉인생치킨 연지점,"치킨,닭강정",연지동
전포동 인터문샤인(intermoonshine),바(BAR),전포동
부전동 뉴러우멘관즈 서면점,아시아음식,부전동
개금동 삼냥제과,"카페,디저트",개금동
전포동 피셋(Phises),태국음식,전포동
개금동 오리랑,한식,개금동
전포동 어풋홀드,바(BAR),전포동
당감동 맛있는바다,생선회,당감동
전포동 정성카츠,돈가스,전포동
당감동 남다른 썬치킨 당감1호점,"치킨,닭강정",당감동
당감동 오계절밀면,한식,당감동
전포동 코베야,이자카야,전포동
당감동 인정후라이드 당감점,"치킨,닭강정",당감동
전포동 우모레,"카페,디저트",전포동
전포동 니사,바(BAR),전포동
범천동 기프티(giftea),"카페,디저트",범천동
부전동 슬림비빔밥,비빔밥,부전동
전포동 굿위크,"카페,디저트",전포동
양정동 양정맛국,한식,양정동
개금동 낙지명가 아낙촌 개금점,"해물,생선요리",개금동
전포동 북샵(Book Shop),바(BAR),전포동
전포동 굿손 전포점,베트남음식,전포동
전포동 GWC 갱상남도 위스키클럽,주류,전포동
전포동 전포 상제씨,한식,전포동
당감동 거북이 동네 당감점,돼지고기구이,당감동
개금동 동대앞 신석쇠구이 개금점,닭요리,개금동
전포동 아일랑트,"카페,디저트",전포동
초읍동 다로숲,"카페,디저트",초읍동
부전동 취기,요리주점,부전동
부전동 4계절카페,"카페,디저트",부전동
전포동 건강한집밥다미,"백반,가정식",전포동
전포동 무야,이자카야,전포동
전포동 NALO,술집,전포동
부전동 챔치,생선회,부전동
가야동 삼양분식,한식,가야동
부전동 영월댁,"칼국수,만두",부전동
부전동 수라상,"육류,고기요리",부전동
전포동 고더샵,브런치,전포동
전포동 놀이터(PLAYGROUND),"이벤트,파티",전포동
초읍동 울엄마곱창,"곱창,막창,양",초읍동
가야동 퀸시,카페,가야동
전포동 카페 까미노,"카페,디저트",전포동
전포동 바오나이트마켓,요리주점,전포동
부전동 코코로스터스,"카페,디저트",부전동
부전동 월하미인,양식,부전동
가야동 자연초갈비,돼지고기구이,가야동
가야동 정일식육식당,"육류,고기요리",가야동
가야동 심청이왕족발,"족발,보쌈",가야동
전포동 가평보리밥집,보리밥,전포동
당감동 백양산하얀농원,"육류,고기요리",당감동
당감동 풍종다슬기,한식,당감동
당감동 금홍,중식당,당감동
부암동 가마솥돼지국밥,국밥,부암동
부전동 하이바,"맥주,호프",부전동
개금동 양가손만두,만두,개금동
양정동 우성각,중식당,양정동
부전동 추억만들기2020,"맥주,호프",부전동
양정동 산내방,한식,양정동
당감동 정든밥집,한식,당감동
양정동 만만,요리주점,양정동
부전동 부산쪽쪽갈비,"육류,고기요리",부전동
부전동 곱테랑,"곱창,막창,양",부전동
양정동 윤식당,한식,양정동
부암동 부산반점,중식당,부암동
가야동 박가네 대박집,한식,가야동
부전동 본죽 서면시장점,죽,부전동
부전동 진칼국수,"칼국수,만두",부전동
개금동 동촌식당,한식,개금동
양정동 양산할매국시,국수,양정동
당감동 승승(당감3호점),돼지고기구이,당감동
양정동 안한정식,한정식,양정동
부전동 갈비에반해찜,"육류,고기요리",부전동
당감동 하루가,"육류,고기요리",당감동
초읍동 다금,한식,초읍동
양정동 다올막창,"곱창,막창,양",양정동
양정동 양정곱창마을,"곱창,막창,양",양정동
부전동 (주)사미헌,"육류,고기요리",부전동
부전동 초원곰탕 서면점,"곰탕,설렁탕",부전동
범천동 우체국옆2층,종합분식,범천동
부전동 서면숯불갈비,"육류,고기요리",부전동
부전동 더블린 데이,"맥주,호프",부전동
당감동 속보이는만두,만두,당감동
당감동 우리집아구찜,"아귀찜,해물찜",당감동
부전동 다도해,"초밥,롤",부전동
부전동 기장멸치전문점,국수,부전동
초읍동 고향맛순두부,두부요리,초읍동
부전동 선희구이,생선회,부전동
개금동 명성식당,생선회,개금동
부전동 시더스초밥,"초밥,롤",부전동
당감동 맛손칼국수,"칼국수,만두",당감동
범천동 갈매기식당,"백반,가정식",범천동
부전동 한방장어구이,한식,부전동
전포동 상호미지수,"육류,고기요리",전포동
개금동 먹음직뼈 감자탕,감자탕,개금동
부암동 돼지zone,돼지고기구이,부암동
부전동 미미루,중식당,부전동
개금동 물꽁과꽃게,"아귀찜,해물찜",개금동
부전동 대복성,중식당,부전동
양정동 시소식당,한식,양정동
부전동 만배아리랑보쌈,"족발,보쌈",부전동
부전동 히든 홀덤펍,"맥주,호프",부전동
부전동 카페이떼,"카페,디저트",부전동
부전동 카오짜이,태국음식,부전동
부전동 발해양꼬치,양꼬치,부전동
가야동 더하다 가야점,"육류,고기요리",가야동
부전동 호맥 서면1번가점,"맥주,호프",부전동
가야동 진지한술집,요리주점,가야동
부전동 소제이,"육류,고기요리",부전동
부전동 중앙선술,이자카야,부전동
부전동 수리랑,"해물,생선요리",부전동
양정동 변상은메기탕추어탕,추어탕,양정동
범천동 장수유황생오리,오리요리,범천동
부전동 모어샌드위치 서면점,샌드위치,부전동
부전동 소원아귀찜,한식,부전동
부암동 당감동오매가매 아구찜,한식,부암동
부전동 초대갈비,"육류,고기요리",부전동
개금동 골목갈비 개금점,"육류,고기요리",개금동
당감동 진짜배기남원추어탕,추어탕,당감동
범천동 선진식당,"육류,고기요리",범천동
개금동 (주)용화집,한식,개금동
부전동 이병우설농탕,"곰탕,설렁탕",부전동
양정동 전통음식점 원양,한식,양정동
부전동 함만,요리주점,부전동
부전동 향토버섯매운탕,"매운탕,해물탕",부전동
부전동 태산분식,두부요리,부전동
양정동 양정서울칼국수,"칼국수,만두",양정동
개금동 원조소토촌추어탕,추어탕,개금동
부전동 이모집양곱창,"곱창,막창,양",부전동
범천동 본가낙지,낙지요리,범천동
부전동 부산농원,한식,부전동
부암동 아서원,중식당,부암동
부전동 갓파스시 서면점,"초밥,롤",부전동
범천동 자연바다횟집,생선회,범천동
부전동 신풍국밥&가야밀면,국밥,부전동
부전동 열정국밥,국밥,부전동
부전동 꽃새우일번가,"해물,생선요리",부전동
부전동 코리(kori),이자카야,부전동
양정동 이가월남쌀국수양정점,베트남음식,양정동
개금동 대동반점,중식당,개금동
개금동 배가네쭈꾸미,한식,개금동
부전동 기장칼국수,"칼국수,만두",부전동
당감동 화성왕족발,"족발,보쌈",당감동
초읍동 엄마손국수,국수,초읍동
전포동 구땡식당,돼지고기구이,전포동
가야동 은성이네양곱창,"곱창,막창,양",가야동
전포동 지지무디,와인,전포동
전포동 탐식,한식,전포동
전포동 파도림,요리주점,전포동
부전동 류아포마라탕,마라탕,부전동
양정동 행복한상,"육류,고기요리",양정동
"가야동 오,토끼","카페,디저트",가야동
부전동 로타리국밥,국밥,부전동
개금동 이모야밥집,한식,개금동
전포동 비주류,바(BAR),전포동
전포동 고빨,요리주점,전포동
개금동 커피콜121,카페,개금동
양정동 우삼겹 비빔국수,요리주점,양정동
전포동 정희네,한식,전포동
가야동 만세통닭,"치킨,닭강정",가야동
전포동 감동먹태,"맥주,호프",전포동
전포동 피플웍스(PEOPLE WORKS),"멕시코,남미음식",전포동
부암동 롯데한식뷔페,한식뷔페,부암동
전포동 컵플(CUPPLE),"카페,디저트",전포동
부암동 싸돼지의 품격,돼지고기구이,부암동
부전동 캠퍼스컵밥,"도시락,컵밥",부전동
전포동 포그(POGG),"카페,디저트",전포동
부암동 미카페(MECAFE),"카페,디저트",부암동
전포동 행담,일식당,전포동
전포동 그레이풀,"카페,디저트",전포동
범천동 그린돈까스,돈가스,범천동
초읍동 통영뒷고기,"육류,고기요리",초읍동
전포동 키친물고기,"초밥,롤",전포동
전포동 보니따(Bonitta),"카페,디저트",전포동
부암동 뿔난닭숯불두마리,"치킨,닭강정",부암동
범천동 아우리버,"카페,디저트",범천동
전포동 얼쓰케이크(EARTHCAKE),케이크전문,전포동
당감동 청담불백정식,한식,당감동
전포동 백양육식장,"육류,고기요리",전포동
전포동 구씨떡볶이,종합분식,전포동
가야동 남바완돈카츠가야점,돈가스,가야동
전포동 테이블세터 전포,요리주점,전포동
부전동 숯꾸돈,돼지고기구이,부전동
전포동 로울,"육류,고기요리",전포동
전포동 행복을주는가게,"이불,담요",전포동
양정동 더블원커피로스터스,"카페,디저트",양정동
전포동 우츠와,일식당,전포동
전포동 라이 다운 커피 로스터스(Lie down coffee Roasters),카페,전포동
연지동 쪽대장,한식,연지동
당감동 소우곰탕,"곰탕,설렁탕",당감동
부전동 키쉬미뇽 서면점,"카페,디저트",부전동
개금동 꼬들집,"육류,고기요리",개금동
부전동 the바삭,종합분식,부전동
부전동 덤보커피앤바,"카페,디저트",부전동
가야동 평화김해뒷고기,"육류,고기요리",가야동
범천동 박향숙 레드참치,생선회,범천동
전포동 씨몬,"카페,디저트",전포동
전포동 드므 부산,와인,전포동
범천동 육회실장,"육류,고기요리",범천동
개금동 덜렁포차,포장마차,개금동
전포동 돈희극,"육류,고기요리",전포동
가야동 부영밥상,한식,가야동
전포동 노뎅,한식,전포동
전포동 멍프탑,애견카페,전포동
개금동 옹기닥,닭요리,개금동
전포동 샤따(SHATTA),이자카야,전포동
전포동 바302호,와인,전포동
범천동 달인추어탕,추어탕,범천동
부전동 남도본가,"찌개,전골",부전동
초읍동 블라블라,"카페,디저트",초읍동
가야동 킹프레소 가야점,"카페,디저트",가야동
전포동 야키토리 온정,"일식튀김,꼬치",전포동
범천동 호맥 범천점,"맥주,호프",범천동
전포동 멘조라멘,일본식라면,전포동
양정동 한솔대구탕,"매운탕,해물탕",양정동
부전동 장모돼지국밥묵은지흑돼지찌개,국밥,부전동
부암동 새벽여는김밥,김밥,부암동
당감동 헤이잭,"스파게티,파스타전문",당감동
전포동 구이포차 우연히,"육류,고기요리",전포동
부전동 용이네뒷고기,한식,부전동
개금동 개금가마솥추어탕,추어탕,개금동
부암동 밥통령,한식,부암동
전포동 굿모닝홍콩,아시아음식,전포동
당감동 우아한알콜주유소,술집,당감동
부전동 동해물회,생선회,부전동
연지동 진주숯불갈비,"육류,고기요리",연지동
당감동 복돌네통닭,"치킨,닭강정",당감동
양정동 경일식당,한식,양정동
부전동 하씨네,요리주점,부전동
전포동 해롱해,한식,전포동
전포동 전포연가,요리주점,전포동
당감동 다복향마라탕(당감점),중식당,당감동
양정동 엄마의 부뚜막,한식,양정동
전포동 구판장,이자카야,전포동
전포동 하노이맥주밤거리 부산전포점,요리주점,전포동
연지동 야키센,한식,연지동
부전동 조옥규한우곰탕,"곰탕,설렁탕",부전동
부전동 어필,요리주점,부전동
전포동 마담에뽀끄 서면점,양식,전포동
부전동 그린보틀,주류,부전동
범천동 조방숯불곱창,"곱창,막창,양",범천동
초읍동 돈짝초읍점,"육류,고기요리",초읍동
부전동 거제도야한상,한식,부전동
부전동 꼬막짬뽕,중식당,부전동
부암동 외식일번가 부산진구점,"육류,고기요리",부암동
가야동 풍성육계장,감자탕,가야동
초읍동 만리성,중식당,초읍동
양정동 장수숯불갈비,"육류,고기요리",양정동
당감동 항정살구공탄,"육류,고기요리",당감동
초읍동 메르시마담,"카페,디저트",초읍동
가야동 멍텅구리,요리주점,가야동
양정동 양정정통밀면,냉면,양정동
부전동 참숯불 불타는 대구생막창,"곱창,막창,양",부전동
부전동 녹원복국,생선회,부전동
부전동 고복샤브샤브,샤브샤브,부전동
개금동 한우예찬,소고기구이,개금동
부전동 아키수산,이자카야,부전동
연지동 소주사랑,"맥주,호프",연지동
부전동 대갈통문어,"해물,생선요리",부전동
당감동 김선장횟집,생선회,당감동
가야동 마당집여울목,한식,가야동
가야동 대풍각,중식당,가야동
양정동 청룡관,중식당,양정동
범천동 돈짱 맛짱,한식,범천동
부전동 옥이네양곱창,한식,부전동
부전동 부잣집밥상,한식,부전동
가야동 만우고깃집,"육류,고기요리",가야동
범천동 중앙횟집,생선회,범천동
당감동 장터영양탕삼계탕,"백숙,삼계탕",당감동
초읍동 삼성밀면,국수,초읍동
부전동 남촌멸치쌈밥,쌈밥,부전동
범천동 아시아투고,중식당,범천동
부전동 스지신,포장마차,부전동
가야동 골드원 꼬마김밥,김밥,가야동
가야동 돼지꿈갈비,돼지고기구이,가야동
양정동 부산대오야,"해물,생선요리",양정동
가야동 땡초우동인(in)포차,포장마차,가야동
부전동 청호식당,한식,부전동
