,request,rule,response
0,전포동 베이비치크,전포동|베이비치크,전포동 베이비치크
1,전포동 베이비치크,베이비치크,전포동 베이비치크
2,전포동 제이에스푸드,전포동|제이에스푸드,전포동 제이에스푸드
3,전포동 제이에스푸드,제이에스푸드,전포동 제이에스푸드
4,양정동 론도테이블,양정동|론도테이블,양정동 론도테이블
5,양정동 론도테이블,론도테이블,양정동 론도테이블
6,전포동 하업트(HAUPT),전포동|하업트,전포동 하업트(HAUPT)
7,전포동 하업트(HAUPT),하업트,전포동 하업트(HAUPT)
8,부전동 야타이 수,부전동|야타이,부전동 야타이 수
9,부전동 야타이 수,야타이,부전동 야타이 수
10,개금동 위대한밥상,개금동|위대한밥상,개금동 위대한밥상
11,개금동 위대한밥상,위대한밥상,개금동 위대한밥상
12,개금동 금돼지식당,개금동|금돼지식당,개금동 금돼지식당
13,개금동 금돼지식당,금돼지식당,개금동 금돼지식당
14,전포동 베리풀,전포동|베리풀,전포동 베리풀
15,전포동 베리풀,베리풀,전포동 베리풀
16,전포동 올드라벨,전포동|올드라벨,전포동 올드라벨
17,전포동 올드라벨,올드라벨,전포동 올드라벨
18,전포동 코즈키,전포동|코즈키,전포동 코즈키
19,전포동 코즈키,코즈키,전포동 코즈키
20,부전동 우미오모루,부전동|우미오모루,부전동 우미오모루
21,부전동 우미오모루,우미오모루,부전동 우미오모루
22,가야동 개금 골목포차,가야동|개금,가야동 개금 골목포차
23,가야동 개금 골목포차,개금,가야동 개금 골목포차
24,전포동 고상,전포동|고상,전포동 고상
25,전포동 고상,고상,전포동 고상
26,전포동 소소리,전포동|소소리,전포동 소소리
27,전포동 소소리,소소리,전포동 소소리
28,부전동 오로르,부전동|오로르,부전동 오로르
29,부전동 오로르,오로르,부전동 오로르
30,전포동 미네,전포동|미네,전포동 미네
31,전포동 미네,미네,전포동 미네
32,전포동 연화림,전포동|연화림,전포동 연화림
33,전포동 연화림,연화림,전포동 연화림
34,부전동 우시야,부전동|우시야,부전동 우시야
35,부전동 우시야,우시야,부전동 우시야
36,전포동 카츠 김선도,전포동|카츠,전포동 카츠 김선도
37,전포동 카츠 김선도,카츠,전포동 카츠 김선도
38,부전동 마후닭,부전동|마후닭,부전동 마후닭
39,부전동 마후닭,마후닭,부전동 마후닭
40,당감동 둥지밀면,당감동|둥지밀면,당감동 둥지밀면
41,당감동 둥지밀면,둥지밀면,당감동 둥지밀면
42,전포동 촉팜,전포동|촉팜,전포동 촉팜
43,전포동 촉팜,촉팜,전포동 촉팜
44,전포동 힙피,전포동|힙피,전포동 힙피
45,전포동 힙피,힙피,전포동 힙피
46,양정동 형아우삼계탕,양정동|형아우삼계탕,양정동 형아우삼계탕
47,양정동 형아우삼계탕,형아우삼계탕,양정동 형아우삼계탕
48,범천동 미담돈,범천동|미담돈,범천동 미담돈
49,범천동 미담돈,미담돈,범천동 미담돈
50,전포동 바리치,전포동|바리치,전포동 바리치
51,전포동 바리치,바리치,전포동 바리치
52,전포동 요키크라브,전포동|요키크라브,전포동 요키크라브
53,전포동 요키크라브,요키크라브,전포동 요키크라브
54,부전동 해운대복어불고기&속시원한대구탕,부전동|해운대복어불고기&속시원한대구탕,부전동 해운대복어불고기&속시원한대구탕
55,부전동 해운대복어불고기&속시원한대구탕,해운대복어불고기&속시원한대구탕,부전동 해운대복어불고기&속시원한대구탕
56,전포동 미올(MYOL),전포동|미올,전포동 미올(MYOL)
57,전포동 미올(MYOL),미올,전포동 미올(MYOL)
58,부전동 오십사,부전동|오십사,부전동 오십사
59,부전동 오십사,오십사,부전동 오십사
60,연지동 도마샌드,연지동|도마샌드,연지동 도마샌드
61,연지동 도마샌드,도마샌드,연지동 도마샌드
62,전포동 배키욘방 부산서면점,전포동|배키욘방,전포동 배키욘방 부산서면점
63,전포동 배키욘방 부산서면점,배키욘방,전포동 배키욘방 부산서면점
64,전포동 로봇초밥마켓 부산본점,전포동|로봇초밥마켓,전포동 로봇초밥마켓 부산본점
65,전포동 로봇초밥마켓 부산본점,로봇초밥마켓,전포동 로봇초밥마켓 부산본점
66,전포동 캔유라이크(Canyoulike),전포동|캔유라이크,전포동 캔유라이크(Canyoulike)
67,전포동 캔유라이크(Canyoulike),캔유라이크,전포동 캔유라이크(Canyoulike)
68,개금동 사보이 개금점,개금동|사보이,개금동 사보이 개금점
69,개금동 사보이 개금점,사보이,개금동 사보이 개금점
70,양정동 신토김밥,양정동|신토김밥,양정동 신토김밥
71,양정동 신토김밥,신토김밥,양정동 신토김밥
72,가야동 우서방쭈삼이,가야동|우서방쭈삼이,가야동 우서방쭈삼이
73,가야동 우서방쭈삼이,우서방쭈삼이,가야동 우서방쭈삼이
74,전포동 꽁테무아(Quant a moi),전포동|꽁테무아,전포동 꽁테무아(Quant a moi)
75,전포동 꽁테무아(Quant a moi),꽁테무아,전포동 꽁테무아(Quant a moi)
76,전포동 트와엣모아,전포동|트와엣모아,전포동 트와엣모아
77,전포동 트와엣모아,트와엣모아,전포동 트와엣모아
78,부전동 개미집 서면센트럴스타점,부전동|개미집,부전동 개미집 서면센트럴스타점
79,부전동 개미집 서면센트럴스타점,개미집,부전동 개미집 서면센트럴스타점
80,부전동 삼다진족 서면점,부전동|삼다진족,부전동 삼다진족 서면점
