Unnamed: 0,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2,naver_map_url_df1
0,밀양식당,한식,,부산광역시 부산진구 가야동 382-15번지 1층,"부산광역시 부산진구 대학로 11-14, 1층 (가야동)",385646.5073,185769.2784,영업/정상,,부산진구,가야동,가야동 밀양식당,가야동 밀양식당 ,
1,은파식당,한식,051-897-6999,부산광역시 부산진구 당감동 262-60번지,부산광역시 부산진구 당감로16번길 24 (당감동),385883.5985,186808.6898,영업/정상,https://pcmap.place.naver.com/restaurant/37956199/review/visitor#,부산진구,당감동,당감동 은파식당,당감동 은파식당 051-897-6999,https://pcmap.place.naver.com/restaurant/37956199/review/visitor#
2,두루미,중국식,051-8174974,부산광역시 부산진구 전포동 657-31 (1층),"부산광역시 부산진구 동천로132번길 20, 1층 (전포동)",387920.0754,186539.6752,영업/정상,https://pcmap.place.naver.com/restaurant/1093909094/review/visitor#,부산진구,전포동,전포동 두루미,전포동 두루미 051-8174974,
3,무쇠김치삼겹 서면본점,한식,051-8170023,부산광역시 부산진구 부전동 187-1,부산광역시 부산진구 중앙대로680번가길 33 (부전동),387702.923,185910.1216,영업/정상,,부산진구,부전동,부전동 무쇠김치삼겹 서면본점,부전동 무쇠김치삼겹 서면본점 051-8170023,
4,진주,중국식,051-8944060,부산광역시 부산진구 개금동 629-1번지,부산광역시 부산진구 진사로61번길 29 (개금동),383936.5418,184898.8702,영업/정상,,부산진구,개금동,개금동 진주,개금동 진주 051-8944060,
5,한경자굴국밥 조방앞점,한식,051-6434142,부산광역시 부산진구 범천동 839-411,부산광역시 부산진구 자유평화로 23 (범천동),387890.043,184437.1139,영업/정상,https://pcmap.place.naver.com/restaurant/1037379543/review/visitor#,부산진구,범천동,범천동 한경자굴국밥 조방앞점,범천동 한경자굴국밥 조방앞점 051-6434142,
6,용궁해물탕,한식,051-808-4711,부산광역시 부산진구 부전동 475-17번지,부산광역시 부산진구 서면문화로5번길 10 (부전동),387374.4079,186296.7995,영업/정상,https://pcmap.place.naver.com/restaurant/16405891/review/visitor#,부산진구,부전동,부전동 용궁해물탕,부전동 용궁해물탕 051-808-4711,
7,유명한손칼국수,한식,051-8649321,부산광역시 부산진구 양정동 320-20번지,"부산광역시 부산진구 동평로405번길 7, 1층 (양정동)",388459.253,188079.1512,영업/정상,,부산진구,양정동,양정동 유명한손칼국수,양정동 유명한손칼국수 051-8649321,
8,사성각,중국식,051-8071288,부산광역시 부산진구 부전동 113-7번지,부산광역시 부산진구 동천로107번길 18 (부전동),387747.6185,186297.8331,영업/정상,https://pcmap.place.naver.com/restaurant/35059323/review/visitor#,부산진구,부전동,부전동 사성각,부전동 사성각 051-8071288,
9,착한동태아구찜,한식,051-818-4005,부산광역시 부산진구 부전동 477-20 (1층),"부산광역시 부산진구 부전로96번길 34-4 (부전동,(1층))",387306.0537,186310.2568,영업/정상,https://pcmap.place.naver.com/restaurant/1841740778/review/visitor#,부산진구,부전동,부전동 착한동태아구찜,부전동 착한동태아구찜 051-818-4005,
10,고반식당서면점,한식,051-8030078,부산광역시 부산진구 부전동 516-15번지,부산광역시 부산진구 가야대로784번길 46-10 (부전동),387335.8588,185971.0729,영업/정상,,부산진구,부전동,부전동 고반식당서면점,부전동 고반식당서면점 051-8030078,
11,소문난집,한식,051-6334717,"부산광역시 부산진구 범천동 873-37번지 ,38(1층)","부산광역시 부산진구 신천대로65번길 69 (범천동,,38(1층))",387488.6672,185052.8872,영업/정상,,부산진구,범천동,범천동 소문난집,범천동 소문난집 051-6334717,
12,깜짝식당,한식,,부산광역시 부산진구 부전동 149-8,부산광역시 부산진구 서전로 20-4 (부전동),387802.4308,186201.23,영업/정상,https://pcmap.place.naver.com/restaurant/16442904/review/visitor#,부산진구,부전동,부전동 깜짝식당,부전동 깜짝식당 ,
13,동평반점,중국식,051-8937134,부산광역시 부산진구 당감동 764-2,부산광역시 부산진구 당감서로 103 (당감동),385343.7633,187374.827,영업/정상,https://pcmap.place.naver.com/restaurant/16471938/review/visitor#,부산진구,당감동,당감동 동평반점,당감동 동평반점 051-8937134,
14,부광횟집,횟집,051-8096039,"부산광역시 부산진구 부전동 398-4 (1,2층)","부산광역시 부산진구 서면문화로 24-1, 1,2층 (부전동)",387313.3319,186426.3395,영업/정상,https://pcmap.place.naver.com/restaurant/32066376/review/visitor#,부산진구,부전동,부전동 부광횟집,부전동 부광횟집 051-8096039,
15,희자통닭,호프/통닭,051-893-8053,부산광역시 부산진구 당감동 304-3번지,부산광역시 부산진구 당감로50번길 21 (당감동),385813.6656,187145.529,영업/정상,https://pcmap.place.naver.com/restaurant/35137420/review/visitor#,부산진구,당감동,당감동 희자통닭,당감동 희자통닭 051-893-8053,
