,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
0,시눅,한식,,부산광역시 부산진구 전포동 344-27,"부산광역시 부산진구 전포대로190번길 25, 지하1층 (전포동)",388275.469270977,185778.840953598,영업/정상,https://pcmap.place.naver.com/restaurant/1809324079/review/visitor#,부산진구,전포동,전포동 시눅,전포동 시눅 
1,덕클,한식,,부산광역시 부산진구 전포동 344-27,"부산광역시 부산진구 전포대로190번길 25, 1층 (전포동)",388275.469270977,185778.840953598,영업/정상,https://pcmap.place.naver.com/restaurant/1844809623/review/visitor#,부산진구,전포동,전포동 덕클,전포동 덕클 
2,고봉민김밥인 부산전포점,분식,,부산광역시 부산진구 전포동 337-14,"부산광역시 부산진구 전포대로200번길 45, 1층 (전포동)",388375.931695119,185899.880112132,영업/정상,,부산진구,전포동,전포동 고봉민김밥인 부산전포점,전포동 고봉민김밥인 부산전포점 
3,eee전포,한식,,부산광역시 부산진구 전포동 340-51,"부산광역시 부산진구 서전로68번길 80, 2층 (전포동)",388289.43383792,185849.383054851,영업/정상,https://pcmap.place.naver.com/restaurant/1192691575/review/visitor#,부산진구,전포동,전포동 eee전포,전포동 eee전포 
4,낭만장작2,호프/통닭,,부산광역시 부산진구 부전동 168-136,"부산광역시 부산진구 서전로10번길 31-7, 지하1층 (부전동)",387658.192523569,186068.466624152,영업/정상,,부산진구,부전동,부전동 낭만장작2,부전동 낭만장작2 
5,씬띠아(Cintia),기타,,부산광역시 부산진구 전포동 364-37,"부산광역시 부산진구 전포대로162번길 25, 1층 (전포동)",388288.388956638,185500.271160056,영업/정상,https://pcmap.place.naver.com/restaurant/1473602949/review/visitor#,부산진구,전포동,전포동 씬띠아(Cintia),전포동 씬띠아(Cintia) 
6,커먼,기타,,부산광역시 부산진구 부전동 505-6 한솔폴라리스,"부산광역시 부산진구 가야대로 754, 1층 101호 일부호 (부전동, 한솔폴라리스)",387076.983236541,186148.629195175,영업/정상,https://pcmap.place.naver.com/restaurant/1340937620/review/visitor#,부산진구,부전동,부전동 커먼,부전동 커먼 
7,새송이아구찜,한식,051-892-2582,부산광역시 부산진구 가야동 641-7,"부산광역시 부산진구 냉정로233번길 20-5, 1층 (가야동)",384569.326434778,185448.307939154,영업/정상,https://pcmap.place.naver.com/restaurant/19659733/review/visitor#,부산진구,가야동,가야동 새송이아구찜,가야동 새송이아구찜 051-892-2582
8,스구식탁 서면,기타,,부산광역시 부산진구 부전동 142-5,"부산광역시 부산진구 서전로 15, 1층 (부전동)",387751.455776768,186253.871909123,영업/정상,,부산진구,부전동,부전동 스구식탁 서면,부전동 스구식탁 서면 
9,오마이브린,기타,,부산광역시 부산진구 전포동 664-10,"부산광역시 부산진구 서전로47번길 19, A바동 1층 125호 (전포동)",388034.824408669,186349.654341261,영업/정상,https://pcmap.place.naver.com/restaurant/1464624534/review/visitor#,부산진구,전포동,전포동 오마이브린,전포동 오마이브린 
10,인사불성,한식,,부산광역시 부산진구 전포동 306-18,"부산광역시 부산진구 서전로58번길 33, 2층 (전포동)",388205.027732882,186073.230656453,영업/정상,https://pcmap.place.naver.com/restaurant/1051408974/review/visitor#,부산진구,전포동,전포동 인사불성,전포동 인사불성 
11,고래랑참치,횟집,,부산광역시 부산진구 부전동 233-3,"부산광역시 부산진구 서면로 30, 1층 (부전동)",387466.806554077,185737.441184457,영업/정상,https://pcmap.place.naver.com/restaurant/1955546083/review/visitor#,부산진구,부전동,부전동 고래랑참치,부전동 고래랑참치 
12,그레잇 벌스,경양식,,부산광역시 부산진구 전포동 359-19,"부산광역시 부산진구 전포대로176번길 34, 1층 (전포동)",388321.435993806,185621.965459102,영업/정상,https://pcmap.place.naver.com/restaurant/1241198948/review/visitor#,부산진구,전포동,전포동 그레잇 벌스,전포동 그레잇 벌스 
13,훈이네 지짐이,한식,,부산광역시 부산진구 전포동 197-22,"부산광역시 부산진구 서전로67번길 21, 1층 (전포동)",388276.226737516,186345.922667569,영업/정상,,부산진구,전포동,전포동 훈이네 지짐이,전포동 훈이네 지짐이 
14,해파랑국밥,한식,,부산광역시 부산진구 부전동 220-14,"부산광역시 부산진구 중앙대로680번길 29, 1층 (부전동)",387726.493894302,185771.046666773,영업/정상,https://pcmap.place.naver.com/restaurant/1231626890/review/visitor#,부산진구,부전동,부전동 해파랑국밥,부전동 해파랑국밥 
15,한다솥 서면점,한식,,부산광역시 부산진구 부전동 537-9 더샵 센트럴스타,"부산광역시 부산진구 중앙대로666번길 50, 지하2층 B203-11,12호 (부전동, 더샵 센트럴스타)",387748.383011444,185533.437357236,영업/정상,https://pcmap.place.naver.com/restaurant/1984788838/review/visitor#,부산진구,부전동,부전동 한다솥 서면점,부전동 한다솥 서면점 
16,얌샘김밥 부산서면점,분식,,부산광역시 부산진구 부전동 232-32,"부산광역시 부산진구 중앙대로 679-3, 1층 (부전동)",387538.544250022,185739.948247453,영업/정상,https://pcmap.place.naver.com/restaurant/1462925454/review/visitor#,부산진구,부전동,부전동 얌샘김밥 부산서면점,부전동 얌샘김밥 부산서면점 
17,카페더덤,기타,,부산광역시 부산진구 전포동 664-7,"부산광역시 부산진구 서전로37번길 26, 1층 (전포동)",387994.374923584,186365.281754984,영업/정상,https://pcmap.place.naver.com/restaurant/1300784850/review/visitor#,부산진구,전포동,전포동 카페더덤,전포동 카페더덤 
18,1972,호프/통닭,,부산광역시 부산진구 범천동 1234-36,"부산광역시 부산진구 신암로 83, 1층 (범천동)",387045.260686629,185210.630517202,영업/정상,,부산진구,범천동,범천동 1972,범천동 1972 
19,대끼리상회,한식,,부산광역시 부산진구 전포동 658-7,"부산광역시 부산진구 동천로132번길 12-6, 102호 (전포동)",387883.878261676,186533.629468599,영업/정상,,부산진구,전포동,전포동 대끼리상회,전포동 대끼리상회 
20,째즈(JAZZ),한식,,부산광역시 부산진구 전포동 198-26,"부산광역시 부산진구 전포대로256번길 34, 1층 (전포동)",388298.902470693,186415.705844596,영업/정상,,부산진구,전포동,전포동 째즈(JAZZ),전포동 째즈(JAZZ) 
21,이가네사각김밥,분식,,부산광역시 부산진구 양정동 361-1,"부산광역시 부산진구 양지로11번길 16, 1층 (양정동)",388551.555118044,187567.403851048,영업/정상,,부산진구,양정동,양정동 이가네사각김밥,양정동 이가네사각김밥 
22,일공일일(1011),한식,,부산광역시 부산진구 전포동 216,"부산광역시 부산진구 서전로68번길 41-1, 2층 (전포동)",388309.898471081,186062.038411582,영업/정상,,부산진구,전포동,전포동 일공일일(1011),전포동 일공일일(1011) 
23,비어 베어,한식,,부산광역시 부산진구 부전동 168-173,"부산광역시 부산진구 중앙대로702번길 25, 2-3층 (부전동)",387691.688016444,185973.89504107,영업/정상,,부산진구,부전동,부전동 비어 베어,부전동 비어 베어 
24,왓더버거 양정직영점,경양식,,부산광역시 부산진구 양정동 406-19,"부산광역시 부산진구 동평로405번길 8, 1층 (양정동)",388483.976783934,188063.913323303,영업/정상,,부산진구,양정동,양정동 왓더버거 양정직영점,양정동 왓더버거 양정직영점 
25,이리와바,경양식,,부산광역시 부산진구 부전동 241-41,"부산광역시 부산진구 신천대로62번길 62, 3층 (부전동)",387512.080882107,185759.624486841,영업/정상,,부산진구,부전동,부전동 이리와바,부전동 이리와바 
26,현숙푸드,기타,,부산광역시 부산진구 가야동 655,"부산광역시 부산진구 냉정로 235-1, 2층 (가야동)",384518.253922416,185427.404724422,영업/정상,,부산진구,가야동,가야동 현숙푸드,가야동 현숙푸드 
27,스터닝샐러드,경양식,,부산광역시 부산진구 부전동 113-8,"부산광역시 부산진구 동천로107번길 12-5, 1층 (부전동)",387774.262785569,186310.003116913,영업/정상,,부산진구,부전동,부전동 스터닝샐러드,부전동 스터닝샐러드 
28,도담갈비선생,기타,,부산광역시 부산진구 부전동 222-4,"부산광역시 부산진구 중앙대로692번길 46-7, 1층 (부전동)",387811.066401899,185834.334427361,영업/정상,,부산진구,부전동,부전동 도담갈비선생,부전동 도담갈비선생 
29,DN컴퍼니,기타,,부산광역시 부산진구 부전동 515-24,"부산광역시 부산진구 부전로 62-1, 2층 (부전동)",387178.758790245,185981.550843045,영업/정상,,부산진구,부전동,부전동 DN컴퍼니,부전동 DN컴퍼니 
30,옥이네맛집,한식,,부산광역시 부산진구 가야동 14-12,"부산광역시 부산진구 가야대로664번길 12, 1층 103호 (가야동)",386211.145035,185949.491220153,영업/정상,,부산진구,가야동,가야동 옥이네맛집,가야동 옥이네맛집 
31,최고집명가돼지국밥,한식,051-852-0533,부산광역시 부산진구 양정동 394-32,"부산광역시 부산진구 중앙대로 903-1, 1층 (양정동)",388459.300091523,187741.263561263,영업/정상,,부산진구,양정동,양정동 최고집명가돼지국밥,양정동 최고집명가돼지국밥 051-852-0533
32,나이스토마토,기타,,부산광역시 부산진구 전포동 216,"부산광역시 부산진구 서전로68번길 41-1, 3층 (전포동)",388309.898471081,186062.038411582,영업/정상,,부산진구,전포동,전포동 나이스토마토,전포동 나이스토마토 
33,고래맥주창고 전포점,한식,,부산광역시 부산진구 전포동 341-10,"부산광역시 부산진구 전포대로200번길 44, 1층 (전포동)",388367.750588426,185874.626355364,영업/정상,,부산진구,전포동,전포동 고래맥주창고 전포점,전포동 고래맥주창고 전포점 
34,만월,한식,,부산광역시 부산진구 전포동 664-7,"부산광역시 부산진구 서전로37번길 26, 1층 (전포동)",387994.374923584,186365.281754984,영업/정상,,부산진구,전포동,전포동 만월,전포동 만월 
35,레레,기타,,부산광역시 부산진구 부전동 100-20,"부산광역시 부산진구 중앙대로756번길 17, 1층 (부전동)",387785.552865349,186423.197472324,영업/정상,,부산진구,부전동,부전동 레레,부전동 레레 
36,데시앙 다방,기타,,부산광역시 부산진구 부전동 534-2,"부산광역시 부산진구 서면로 10, 119호 (부전동)",387482.739380339,185523.630647005,영업/정상,,부산진구,부전동,부전동 데시앙 다방,부전동 데시앙 다방 
37,오때,경양식,,부산광역시 부산진구 전포동 216,"부산광역시 부산진구 서전로68번길 41-1, 1층 일부호 (전포동)",388309.898471081,186062.038411582,영업/정상,,부산진구,전포동,전포동 오때,전포동 오때 
38,진뼈감자탕과 연잎꽃게장,한식,,부산광역시 부산진구 개금동 171-15,"부산광역시 부산진구 복지로13번길 64, 1층 (개금동)",384355.32953534,185516.55777214,영업/정상,,부산진구,개금동,개금동 진뼈감자탕과 연잎꽃게장,개금동 진뼈감자탕과 연잎꽃게장 
39,추억의 맥주,호프/통닭,,부산광역시 부산진구 부전동 485-2,"부산광역시 부산진구 서면문화로5번길 25, 1층 (부전동)",387285.801195957,186271.794547987,영업/정상,,부산진구,부전동,부전동 추억의 맥주,부전동 추억의 맥주 
40,키야키,일식,,부산광역시 부산진구 전포동 357-43,"부산광역시 부산진구 동성로25번길 17-5, 1,2층 (전포동)",388328.424059245,185661.185655834,영업/정상,,부산진구,전포동,전포동 키야키,전포동 키야키 
41,야화,경양식,,부산광역시 부산진구 전포동 307-15,"부산광역시 부산진구 서전로58번길 43, 2층 (전포동)",388204.085883614,186034.41929136,영업/정상,,부산진구,전포동,전포동 야화,전포동 야화 
42,TAN GLE(탱글),기타,,부산광역시 부산진구 전포동 340-51,"부산광역시 부산진구 서전로68번길 80, 1층 (전포동)",388289.43383792,185849.383054851,영업/정상,,부산진구,전포동,전포동 TAN GLE(탱글),전포동 TAN GLE(탱글) 
43,맘보비어,호프/통닭,,부산광역시 부산진구 부전동 517-31,"부산광역시 부산진구 가야대로784번길 53, 가동 1층 (부전동)",387394.812371401,185922.853022838,영업/정상,https://pcmap.place.naver.com/restaurant/1880604906/review/visitor#,부산진구,부전동,부전동 맘보비어,부전동 맘보비어 
44,행복해,한식,,부산광역시 부산진구 당감동 785-23,"부산광역시 부산진구 백양산로 25, 1층 (당감동)",385127.704754364,187751.567756767,영업/정상,https://pcmap.place.naver.com/restaurant/1639482992/review/visitor#,부산진구,당감동,당감동 행복해,당감동 행복해 
45,곰돌이,한식,,부산광역시 부산진구 부전동 261-7,"부산광역시 부산진구 새싹로8번길 7, 1층 (부전동)",387512.138722894,186371.506887648,영업/정상,,부산진구,부전동,부전동 곰돌이,부전동 곰돌이 
46,섹션코브,한식,,부산광역시 부산진구 전포동 201-23,"부산광역시 부산진구 전포대로246번길 16, 1층 (전포동)",388215.740514302,186319.995301336,영업/정상,https://pcmap.place.naver.com/restaurant/1712947492/review/visitor#,부산진구,전포동,전포동 섹션코브,전포동 섹션코브 
47,이또이 스시,일식,,부산광역시 부산진구 전포동 357-91,"부산광역시 부산진구 전포대로176번길 43, 지하1층 (전포동)",388377.024466081,185642.952375672,영업/정상,https://pcmap.place.naver.com/restaurant/1403825595/review/visitor#,부산진구,전포동,전포동 이또이 스시,전포동 이또이 스시 
48,아는오빠포차,한식,,부산광역시 부산진구 부전동 168-340,"부산광역시 부산진구 동천로85번길 7, 1층 (부전동)",387802.890249762,186063.900781414,영업/정상,https://pcmap.place.naver.com/restaurant/1103433949/review/visitor#,부산진구,부전동,부전동 아는오빠포차,부전동 아는오빠포차 
49,"쉼표,와인",기타,,부산광역시 부산진구 개금동 523-51,"부산광역시 부산진구 복지로21번길 8, 1층 (개금동)",384072.960767472,185418.470949357,영업/정상,https://pcmap.place.naver.com/restaurant/1773659137/review/visitor#,부산진구,개금동,"개금동 쉼표,와인","개금동 쉼표,와인 "
50,뚜오이(tuoi),한식,,부산광역시 부산진구 전포동 309-57,"부산광역시 부산진구 전포대로210번길 3, 1층 (전포동)",388156.76574422,185987.22777069,영업/정상,https://pcmap.place.naver.com/restaurant/1157539251/review/visitor#,부산진구,전포동,전포동 뚜오이(tuoi),전포동 뚜오이(tuoi) 
51,행복생선구이,한식,,부산광역시 부산진구 양정동 275-2 유연빌딩,"부산광역시 부산진구 동평로405번길 74, 유연빌딩 1층 (양정동)",388657.089535651,188340.655385596,영업/정상,https://pcmap.place.naver.com/restaurant/1162603010/review/visitor#,부산진구,양정동,양정동 행복생선구이,양정동 행복생선구이 
52,설맥,호프/통닭,,부산광역시 부산진구 가야동 158 범진빌딩,"부산광역시 부산진구 가야공원로 8, 범진빌딩 1층 (가야동)",384864.9317806,185599.226783252,영업/정상,https://pcmap.place.naver.com/restaurant/1053894607/review/visitor#,부산진구,가야동,가야동 설맥,가야동 설맥 
53,엄마손식당,한식,,부산광역시 부산진구 가야동 343-2,"부산광역시 부산진구 대학로 32-1, 1층 (가야동)",385450.893876564,185627.283214386,영업/정상,,부산진구,가야동,가야동 엄마손식당,가야동 엄마손식당 
54,김형제고기의철학 부산서면점,식육(숯불구이),,부산광역시 부산진구 부전동 521-10 (주)진흥빌딩,부산광역시 부산진구 서면로 37 (주)진흥빌딩 1층 (부전동),387416.969690129,185809.38681276,영업/정상,,부산진구,부전동,부전동 김형제고기의철학 부산서면점,부전동 김형제고기의철학 부산서면점 
55,더푸드랩,기타,,부산광역시 부산진구 가야동 597 협동물산,"부산광역시 부산진구 냉정로253번길 24, 협동물산 B동 1층 (가야동)",384797.386343178,185470.7350004,영업/정상,,부산진구,가야동,가야동 더푸드랩,가야동 더푸드랩 
56,자이언트 숯불 두마리치킨 본점,기타,,부산광역시 부산진구 전포동 189-52,"부산광역시 부산진구 동성로96번길 9, 1층 (전포동)",388369.983368375,186429.18634179,영업/정상,,부산진구,전포동,전포동 자이언트 숯불 두마리치킨 본점,전포동 자이언트 숯불 두마리치킨 본점 
57,기치죠지 라이더(kichijoji rider),기타,,부산광역시 부산진구 전포동 334-28,"부산광역시 부산진구 전포대로210번길 42, 1층 (전포동)",388355.929421904,185975.800348304,영업/정상,https://pcmap.place.naver.com/restaurant/1671610867/review/visitor#,부산진구,전포동,전포동 기치죠지 라이더(kichijoji rider),전포동 기치죠지 라이더(kichijoji rider) 
58,식껍 초읍연지점,식육(숯불구이),,부산광역시 부산진구 초읍동 269-38,"부산광역시 부산진구 새싹로 204, 1층 (초읍동)",386618.735209911,188048.273577384,영업/정상,,부산진구,초읍동,초읍동 식껍 초읍연지점,초읍동 식껍 초읍연지점 
59,특별한 생 아구찜,한식,,부산광역시 부산진구 초읍동 332-4,"부산광역시 부산진구 성지곡로 43-3, 1층 (초읍동)",386460.368427409,189372.029089423,영업/정상,https://pcmap.place.naver.com/restaurant/1133991617/review/visitor#,부산진구,초읍동,초읍동 특별한 생 아구찜,초읍동 특별한 생 아구찜 
60,60계치킨부산서면점,호프/통닭,051819-6060,부산광역시 부산진구 전포동 337-9,"부산광역시 부산진구 서전로68번길 65, 1층 (전포동)",388308.735402977,185917.068001056,영업/정상,,부산진구,전포동,전포동 60계치킨부산서면점,전포동 60계치킨부산서면점 051819-6060
61,신암보리밥,한식,,부산광역시 부산진구 범천동 980-161번지,"부산광역시 부산진구 신암로 100-8, 지상1층 (범천동)",386967.877692727,185358.787720276,영업/정상,,부산진구,범천동,범천동 신암보리밥,범천동 신암보리밥 
62,파복스(PAVOX),경양식,,부산광역시 부산진구 부전동 225-5,"부산광역시 부산진구 중앙대로680번길 30, 6층 (부전동)",387717.053479172,185738.576957577,영업/정상,,부산진구,부전동,부전동 파복스(PAVOX),부전동 파복스(PAVOX) 
63,진상아구찜＆대구탕,한식,,부산광역시 부산진구 부전동 502-15,"부산광역시 부산진구 서면로 65-4, 2층 (부전동)",387409.799415388,186098.418548249,영업/정상,,부산진구,부전동,부전동 진상아구찜＆대구탕,부전동 진상아구찜＆대구탕 
64,자담치킨가야점,한식,07051173732,부산광역시 부산진구 가야동 136-15번지 1층,"부산광역시 부산진구 가야대로527번길 7, 1층 (가야동)",384863.56712906,185766.725128017,영업/정상,,부산진구,가야동,가야동 자담치킨가야점,가야동 자담치킨가야점 07051173732
65,하와이지,경양식,,부산광역시 부산진구 부전동 168-94,"부산광역시 부산진구 중앙대로680번가길 47, 5층 (부전동)",387705.122197119,185985.097420325,영업/정상,,부산진구,부전동,부전동 하와이지,부전동 하와이지 
66,명화마을2,한식,,부산광역시 부산진구 양정동 365-11,"부산광역시 부산진구 양지로 22-1, 지하1층 (양정동)",388526.447341357,187433.702603039,영업/정상,,부산진구,양정동,양정동 명화마을2,양정동 명화마을2 
67,시실리 돈까스,한식,,부산광역시 부산진구 전포동 688-2,"부산광역시 부산진구 전포대로 207, 1층 105호 (전포동)",388092.113890846,185960.350772421,영업/정상,,부산진구,전포동,전포동 시실리 돈까스,전포동 시실리 돈까스 
68,찢었다 김치찜 개금점,호프/통닭,,부산광역시 부산진구 가야동 659-3 1층,"부산광역시 부산진구 복지로47번길 73, 1층 (가야동)",384427.814906503,185238.73636035,영업/정상,,부산진구,가야동,가야동 찢었다 김치찜 개금점,가야동 찢었다 김치찜 개금점 
69,프리츠프리츠,기타,,부산광역시 부산진구 전포동 660-18번지,"부산광역시 부산진구 전포대로255번길 43-14, 지상2층 (전포동)",387888.510637658,186352.945279534,영업/정상,,부산진구,전포동,전포동 프리츠프리츠,전포동 프리츠프리츠 
70,신촌을못가,기타,,부산광역시 부산진구 부전동 168-98 동아나루,"부산광역시 부산진구 중앙대로680번가길 53, 동아나루 3층 (부전동)",387699.382248518,186013.123047638,영업/정상,,부산진구,부전동,부전동 신촌을못가,부전동 신촌을못가 
71,22구녕,한식,,부산광역시 부산진구 양정동 360-18,"부산광역시 부산진구 진남로 499-1, 1층 (양정동)",388571.551495702,187477.552045779,영업/정상,,부산진구,양정동,양정동 22구녕,양정동 22구녕 
