,Unnamed: 0,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2,naver_map_url_df1
4,4,김복남맥주 서면아이파크점,호프/통닭,051-907-1717,부산광역시 부산진구 전포동 908 서면아이파크아파트,"부산광역시 부산진구 동성로 50, 상가1동 8호 (전포동, 서면아이파크아파트)",388546.11676027,186038.10613501,영업/정상,,부산진구,전포동,전포동 김복남맥주 서면아이파크점,전포동 김복남맥주 서면아이파크점 051-907-1717,
76,76,전포문어,경양식,051-715-1126,부산광역시 부산진구 전포동 206-19,"부산광역시 부산진구 서전로 60-5, 1,2층 (전포동)",388210.122516575,186213.952762869,영업/정상,,부산진구,전포동,전포동 전포문어,전포동 전포문어 051-715-1126,
115,115,어(漁)고기,한식,051-996-2144,부산광역시 부산진구 부암동 399-1,"부산광역시 부산진구 당감로60번길 24, 1층 (부암동)",385777.019817968,187284.03593238,영업/정상,,부산진구,부암동,부암동 어(漁)고기,부암동 어(漁)고기 051-996-2144,
118,118,한솥도시락 영광도서하늘정원점,김밥(도시락),051-816-9506,부산광역시 부산진구 부전동 397-14 영광도서,"부산광역시 부산진구 서면문화로 10, 영광도서 10층 (부전동)",387415.724644705,186342.36247766,영업/정상,https://pcmap.place.naver.com/restaurant/483212728/review/visitor#,부산진구,부전동,부전동 한솥도시락 영광도서하늘정원점,부전동 한솥도시락 영광도서하늘정원점 051-816-9506,
125,125,내맘대로 돈과떡,한식,051-818-1955,부산광역시 부산진구 부전동 217-2,"부산광역시 부산진구 중앙대로692번길 34, 지하1층 (부전동)",387741.742557855,185850.095122852,영업/정상,,부산진구,부전동,부전동 내맘대로 돈과떡,부전동 내맘대로 돈과떡 051-818-1955,
159,159,술의온도,한식,051-8038989,부산광역시 부산진구 전포동 205-63,"부산광역시 부산진구 서전로 70, 1층 (전포동)",388299.910367353,186232.696658402,영업/정상,,부산진구,전포동,전포동 술의온도,전포동 술의온도 051-8038989,
164,164,뚜레박,한식,051-818-3728,부산광역시 부산진구 부전동 394-16번지 경동파크타워,"부산광역시 부산진구 새싹로 30, 1층 106호 (부전동, 경동파크타워)",387381.306373128,186540.205085093,영업/정상,,부산진구,부전동,부전동 뚜레박,부전동 뚜레박 051-818-3728,
166,166,유가네닭갈비개금점(2F),기타,051-8913311,부산광역시 부산진구 가야동 632-5번지 2층,"부산광역시 부산진구 가야대로498번길 28-3, 2층 (가야동)",384584.007570699,185487.929276445,영업/정상,,부산진구,가야동,가야동 유가네닭갈비개금점(2F),가야동 유가네닭갈비개금점(2F) 051-8913311,
170,170,천라쿵푸마라탕 서면점,한식,051-802-9692,부산광역시 부산진구 부전동 220-10,"부산광역시 부산진구 중앙대로680번가길 12, 1층 (부전동)",387725.773836445,185798.219965012,영업/정상,,부산진구,부전동,부전동 천라쿵푸마라탕 서면점,부전동 천라쿵푸마라탕 서면점 051-802-9692,
173,173,오복집,한식,051-818-5214,부산광역시 부산진구 초읍동 263-6번지 초읍아파트,"부산광역시 부산진구 성지로153번길 138, 1층 45535-24호 (초읍동, 초읍아파트)",386609.068708572,188216.247975515,영업/정상,,부산진구,초읍동,초읍동 오복집,초읍동 오복집 051-818-5214,
177,177,야무진,중국식,051-918-8886,부산광역시 부산진구 부전동 532-44,"부산광역시 부산진구 부전로 15-7, 1층 (부전동)",387358.835239237,185534.889138404,영업/정상,,부산진구,부전동,부전동 야무진,부전동 야무진 051-918-8886,
179,179,죽이야기개금점,한식,051-8926288,부산광역시 부산진구 개금동 515-3,"부산광역시 부산진구 가야대로 456, 1층 (개금동)",384171.999075091,185619.332741144,영업/정상,https://pcmap.place.naver.com/restaurant/1640918262/review/visitor#,부산진구,개금동,개금동 죽이야기개금점,개금동 죽이야기개금점 051-8926288,
181,181,또하까,호프/통닭,051-8193326,부산광역시 부산진구 부전동 403-37번지 2층,"부산광역시 부산진구 새싹로29번길 14-5, 2층 (부전동)",387275.893056651,186520.869346009,영업/정상,,부산진구,부전동,부전동 또하까,부전동 또하까 051-8193326,
185,185,맛있는 순두부,한식,070-82870077,부산광역시 부산진구 부전동 524-18,"부산광역시 부산진구 중앙대로691번길 55, 1층 (부전동)",387273.823822869,185836.770575664,영업/정상,https://pcmap.place.naver.com/restaurant/367786556/review/visitor#,부산진구,부전동,부전동 맛있는 순두부,부전동 맛있는 순두부 070-82870077,
195,195,순곱이네(부암점),중국식,051-946-1400,부산광역시 부산진구 당감동 88-2,"부산광역시 부산진구 가야대로691번길 28, 1층 (당감동)",386385.01910093,186192.784507159,영업/정상,,부산진구,당감동,당감동 순곱이네(부암점),당감동 순곱이네(부암점) 051-946-1400,
201,201,류길상피자당감점,한식,051-803-3303,부산광역시 부산진구 부암동 467-4번지,"부산광역시 부산진구 백양순환로 113, 1층 (부암동)",385741.795016482,187565.689738245,영업/정상,,부산진구,부암동,부암동 류길상피자당감점,부암동 류길상피자당감점 051-803-3303,
204,204,왕창푸드,한식,051-8081276,부산광역시 부산진구 부전동 439-22,부산광역시 부산진구 부전로65번길 24 (부전동),387037.111320525,186012.951776326,영업/정상,,부산진구,부전동,부전동 왕창푸드,부전동 왕창푸드 051-8081276,
205,205,서면관,호프/통닭,051-8081119,부산광역시 부산진구 부전동 168-98 지상2층,"부산광역시 부산진구 중앙대로680번가길 53, 지상2층 (부전동)",387699.382248518,186013.123047638,영업/정상,,부산진구,부전동,부전동 서면관,부전동 서면관 051-8081119,
206,206,홍길동포차,기타,051-818-2463,부산광역시 부산진구 부암동 401-4번지,부산광역시 부산진구 당감로64번길 30 (부암동),385805.812606358,187306.751367824,영업/정상,https://pcmap.place.naver.com/restaurant/16485865/review/visitor#,부산진구,부암동,부암동 홍길동포차,부암동 홍길동포차 051-818-2463,
209,209,고향솥밥,한식,051-808-8187,부산광역시 부산진구 부전동 262-6 (1층),"부산광역시 부산진구 중앙대로743번길 21 (부전동,(1층))",387533.844854846,186421.949822927,영업/정상,,부산진구,부전동,부전동 고향솥밥,부전동 고향솥밥 051-808-8187,
222,222,김부자푸드,기타,051-8193990,부산광역시 부산진구 연지동 71-14번지 지상1층일부,"부산광역시 부산진구 성지로14번길 7 (연지동, 지상1층일부)",387190.573818798,187790.5913988,영업/정상,,부산진구,연지동,연지동 김부자푸드,연지동 김부자푸드 051-8193990,
