사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
바이미포미(BY ME FO ME),한식,051-9216979,부산광역시 부산진구 양정동 274-10,"부산광역시 부산진구 진연로9번길 72, 1층 (양정동)",388686.016343849,188266.050314804,영업/정상,,부산진구,양정동,양정동 바이미포미(BY ME FO ME),양정동 바이미포미(BY ME FO ME) 051-9216979
오공복이,분식,051-8027152,부산광역시 부산진구 전포동 687-13번지 1층,"부산광역시 부산진구 전포대로209번길 17-5, 1층 (전포동)",388032.716535095,185945.596696534,영업/정상,,부산진구,전포동,전포동 오공복이,전포동 오공복이 051-8027152
라온58(Raon58),호프/통닭,,부산광역시 부산진구 부전동 520-1 지상3층,"부산광역시 부산진구 가야대로784번길 58, 지상3층 (부전동)",387368.891041806,185905.954710749,영업/정상,,부산진구,부전동,부전동 라온58(Raon58),부전동 라온58(Raon58) 
양정꽃돼지,식육(숯불구이),,부산광역시 부산진구 양정동 389-5번지,"부산광역시 부산진구 동평로406번길 29, 1층 (양정동)",388424.549175256,187893.158202539,영업/정상,,부산진구,양정동,양정동 양정꽃돼지,양정동 양정꽃돼지 
해뜰마루감자탕,한식,051-6433657,부산광역시 부산진구 범천동 848-20번지,"부산광역시 부산진구 범일로 168, 2층 (범천동)",387621.343496702,184825.677685157,영업/정상,,부산진구,범천동,범천동 해뜰마루감자탕,범천동 해뜰마루감자탕 051-6433657
등갈비에 반하다,한식,051-8028557,부산광역시 부산진구 전포동 687-11,부산광역시 부산진구 전포대로209번길 17-3 (전포동),388032.449217247,185955.388355349,영업/정상,,부산진구,전포동,전포동 등갈비에 반하다,전포동 등갈비에 반하다 051-8028557
가야산곰장어,한식,051-8961318,부산광역시 부산진구 가야동 378-12,"부산광역시 부산진구 가야대로 602, 1층 (가야동)",385600.069821593,185844.798903222,영업/정상,,부산진구,가야동,가야동 가야산곰장어,가야동 가야산곰장어 051-8961318
프랭클린커피로스터스,기타,051-8180500,부산광역시 부산진구 초읍동 217-13 지하1~1층,"부산광역시 부산진구 성지로 87-1, 지하1~1층 (초읍동)",386964.523135728,188499.595420696,영업/정상,,부산진구,초읍동,초읍동 프랭클린커피로스터스,초읍동 프랭클린커피로스터스 051-8180500
소문난장터돼지국밥,한식,051-8065450,부산광역시 부산진구 전포동 657-8,"부산광역시 부산진구 동천로132번길 24, 1층 (전포동)",387942.334356502,186533.04522586,영업/정상,,부산진구,전포동,전포동 소문난장터돼지국밥,전포동 소문난장터돼지국밥 051-8065450
김완쭈꾸미,한식,051-8080608,부산광역시 부산진구 부전동 267-19 지상2층일부,"부산광역시 부산진구 중앙대로755번길 10 (부전동, 지상2층일부)",387666.12706233,186499.349069279,영업/정상,,부산진구,부전동,부전동 김완쭈꾸미,부전동 김완쭈꾸미 051-8080608
샤브향부산서면점,한식,,부산광역시 부산진구 부전동 242-3번지 지상2층 현경빌딩,"부산광역시 부산진구 서면로 48, 지상2층 (부전동, 현경빌딩)",387460.467886387,185915.173288722,영업/정상,,부산진구,부전동,부전동 샤브향부산서면점,부전동 샤브향부산서면점 
